CodeElement, SuspiciousScore
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):90, 7.589464555320337
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):91, 7.589464555320337
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):92, 7.589464555320337
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):97, 7.589464555320337
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):76, 7.585296655464069
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):77, 7.585296655464069
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):78, 7.585296655464069
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):79, 7.585296655464069
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):81, 7.585296655464069
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):68, 7.585202842492518
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):69, 7.585202842492518
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):74, 7.585202842492518
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):75, 7.585202842492518
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):84, 7.585202842492518
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):85, 7.585202842492518
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):87, 7.585202842492518
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):88, 7.585202842492518
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):89, 7.585202842492518
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):110, 7.585202842492518
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):99, 7.58314
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):100, 7.58314
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):101, 7.58314
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):102, 7.58314
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):104, 7.58314
com.google.javascript.jscomp.LightweightMessageFormatter#format(com.google.javascript.jscomp.JSError,boolean):107, 7.58314
com.google.javascript.jscomp.AbstractMessageFormatter#getSource():44, 5.398872842492518
com.google.javascript.jscomp.SourceExcerptProvider.SourceExcerpt.1#get(com.google.javascript.jscomp.SourceExcerptProvider,java.lang.String,int,com.google.javascript.jscomp.SourceExcerptProvider.ExcerptFormatter):36, 5.396722842492518
com.google.javascript.jscomp.LightweightMessageFormatter#formatError(com.google.javascript.jscomp.JSError):59, 5.203415113445778
com.google.javascript.jscomp.AbstractMessageFormatter#getLevelName(com.google.javascript.jscomp.CheckLevel):75, 5.189225113445778
com.google.javascript.jscomp.AbstractMessageFormatter#getLevelName(com.google.javascript.jscomp.CheckLevel):74, 5.188272842492518
com.google.javascript.jscomp.AbstractMessageFormatter#getLevelName(com.google.javascript.jscomp.CheckLevel):76, 5.18621
com.google.javascript.jscomp.AbstractMessageFormatter#getLevelName(com.google.javascript.jscomp.CheckLevel):77, 5.18621
com.google.javascript.jscomp.AbstractMessageFormatter#maybeColorize(java.lang.String,com.google.javascript.jscomp.AbstractMessageFormatter.Color):82, 5.188272842492518
com.google.javascript.jscomp.AbstractMessageFormatter#maybeColorize(java.lang.String,com.google.javascript.jscomp.AbstractMessageFormatter.Color):84, 5.18621
com.google.javascript.jscomp.JSError#make(java.lang.String,int,int,com.google.javascript.jscomp.DiagnosticType,java.lang.String[]):85, 4.82529513914594
com.google.javascript.jscomp.LightweightMessageFormatter.LineNumberingFormatter#formatLine(java.lang.String,int):122, 4.726282842492518
com.google.javascript.jscomp.JSError#getCharno():200, 4.718977425678048
