CodeElement, SuspiciousScore
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):591, 4.07810404520791
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):592, 4.07810404520791
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):594, 4.07810404520791
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):595, 4.07810404520791
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):598, 4.07810404520791
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):603, 4.07810404520791
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):609, 4.07810404520791
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):613, 4.07810404520791
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):614, 4.07810404520791
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):616, 4.07810404520791
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):619, 4.07810404520791
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):622, 4.07810404520791
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):623, 4.07810404520791
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):584, 4.077862135955
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):585, 4.077862135955
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):596, 4.076552277660168
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):610, 4.076062612419124
org.apache.commons.lang3.math.Fraction#greatestCommonDivisor(int,int):599, 4.07339
org.apache.commons.lang3.math.Fraction#equals(java.lang.Object):844, 3.4793124829046382
org.apache.commons.lang3.math.Fraction#equals(java.lang.Object):847, 3.4793124829046382
org.apache.commons.lang3.math.Fraction#equals(java.lang.Object):850, 3.4793124829046382
org.apache.commons.lang3.math.Fraction#equals(java.lang.Object):851, 3.4793124829046382
org.apache.commons.lang3.math.Fraction#equals(java.lang.Object):845, 3.47523
org.apache.commons.lang3.math.Fraction#equals(java.lang.Object):848, 3.47523
org.apache.commons.lang3.math.Fraction#getReducedFraction(int,int):216, 3.4285910678118654
org.apache.commons.lang3.math.Fraction#getReducedFraction(int,int):223, 3.4285910678118654
org.apache.commons.lang3.math.Fraction#getReducedFraction(int,int):226, 3.4285910678118654
org.apache.commons.lang3.math.Fraction#getReducedFraction(int,int):228, 3.4285910678118654
org.apache.commons.lang3.math.Fraction#getReducedFraction(int,int):230, 3.4285910678118654
org.apache.commons.lang3.math.Fraction#getReducedFraction(int,int):231, 3.4285910678118654
org.apache.commons.lang3.math.Fraction#getReducedFraction(int,int):219, 3.4256024829046385
org.apache.commons.lang3.math.Fraction#getReducedFraction(int,int):215, 3.4241926124191244
org.apache.commons.lang3.math.Fraction#getReducedFraction(int,int):218, 3.4241926124191244
org.apache.commons.lang3.math.Fraction#getReducedFraction(int,int):222, 3.4241926124191244
org.apache.commons.lang3.math.Fraction#getReducedFraction(int,int):225, 3.4241926124191244
org.apache.commons.lang3.math.Fraction#getReducedFraction(int,int):234, 3.4241926124191244
org.apache.commons.lang3.math.Fraction#getReducedFraction(int,int):235, 3.4241926124191244
org.apache.commons.lang3.math.Fraction#getReducedFraction(int,int):236, 3.4241926124191244
org.apache.commons.lang3.math.Fraction#getReducedFraction(int,int):237, 3.4241926124191244
org.apache.commons.lang3.math.Fraction#reduce():475, 2.9601810678118654
org.apache.commons.lang3.math.Fraction#reduce():476, 2.9601810678118654
org.apache.commons.lang3.math.Fraction#reduce():478, 2.9601810678118654
org.apache.commons.lang3.math.Fraction#reduce():479, 2.9601810678118654
org.apache.commons.lang3.math.Fraction#reduce():480, 2.9601810678118654
org.apache.commons.lang3.math.Fraction#reduce():482, 2.9601810678118654
org.apache.commons.lang3.math.Fraction#getFraction(int,int):151, 2.7999422776601683
org.apache.commons.lang3.math.Fraction#getFraction(int,int):155, 2.7999422776601683
org.apache.commons.lang3.math.Fraction#getFraction(int,int):156, 2.7999422776601683
org.apache.commons.lang3.math.Fraction#getFraction(int,int):147, 2.7985477669529666
org.apache.commons.lang3.math.Fraction#getFraction(int,int):150, 2.7985477669529666
org.apache.commons.lang3.math.Fraction#getFraction(int,int):158, 2.7985477669529666
org.apache.commons.lang3.math.Fraction#getFraction(int,int):148, 2.79678
org.apache.commons.lang3.math.Fraction#getFraction(int,int):153, 2.79678
org.apache.commons.lang3.math.Fraction#getDenominator():382, 0.9775231134457777
org.apache.commons.lang3.math.Fraction#getNumerator():373, 0.9639201134457777
