CodeElement, SuspiciousScore
org.apache.commons.lang.math.Fraction#reduce():466, 3.5071499999999998
org.apache.commons.lang.math.Fraction#reduce():467, 3.5071499999999998
org.apache.commons.lang.math.Fraction#reduce():468, 3.5071499999999998
org.apache.commons.lang.math.Fraction#reduce():470, 3.5071499999999998
org.apache.commons.lang.math.Fraction#getFraction(int,int):146, 3.0848521359549994
org.apache.commons.lang.math.Fraction#getFraction(int,int):150, 3.0848521359549994
org.apache.commons.lang.math.Fraction#getFraction(int,int):151, 3.0848521359549994
org.apache.commons.lang.math.Fraction#getFraction(int,int):142, 3.08288
org.apache.commons.lang.math.Fraction#getFraction(int,int):145, 3.08288
org.apache.commons.lang.math.Fraction#getFraction(int,int):153, 3.08288
org.apache.commons.lang.math.Fraction#getFraction(int,int):143, 3.08038
org.apache.commons.lang.math.Fraction#getFraction(int,int):148, 3.08038
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):578, 2.5181433333333336
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):579, 2.5181433333333336
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):581, 2.5181433333333336
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):582, 2.5181433333333336
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):585, 2.5181433333333336
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):590, 2.5181433333333336
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):596, 2.5181433333333336
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):600, 2.5181433333333336
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):601, 2.5181433333333336
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):603, 2.5181433333333336
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):606, 2.5181433333333336
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):609, 2.5181433333333336
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):610, 2.5181433333333336
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):571, 2.5179722776601685
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):572, 2.5179722776601685
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):583, 2.51481
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):586, 2.51481
org.apache.commons.lang.math.Fraction#greatestCommonDivisor(int,int):597, 2.51481
org.apache.commons.lang.math.Fraction#getDenominator():377, 1.211982007163556
org.apache.commons.lang.math.Fraction#getNumerator():368, 1.202782007163556
