CodeElement, SuspiciousScore
org.apache.commons.math3.fraction.Fraction#percentageValue():597, 6.540291067811865
org.apache.commons.math3.fraction.Fraction#multiply(int):555, 5.795393502691897
org.apache.commons.math3.fraction.Fraction#doubleValue():319, 4.824104500897299
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):388, 4.492915048046856
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):392, 4.492915048046856
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):409, 4.492908428390821
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):410, 4.492908428390821
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):411, 4.492908428390821
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):385, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):386, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):387, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):399, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):400, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):402, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):403, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):406, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):407, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):413, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):419, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):425, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):426, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):429, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):430, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):432, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):435, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):438, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):439, 4.492906802819743
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):389, 4.49222
org.apache.commons.math3.util.ArithmeticUtils#gcd(int,int):414, 4.49222
