CodeElement, SuspiciousScore
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):260, 5.871011067811866
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):258, 5.867591483716701
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):253, 5.867369971702851
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):254, 5.867369971702851
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):276, 5.8662970226039555
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):277, 5.8662970226039555
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):278, 5.8662970226039555
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):263, 5.86598124145232
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):267, 5.86598124145232
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):268, 5.86598124145232
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):270, 5.86598124145232
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):255, 5.86394
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):264, 5.86394
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):271, 5.86394
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):272, 5.86394
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):273, 5.86394
org.apache.commons.math.util.FastMath#atan2(double,double):3004, 4.849862612419124
org.apache.commons.math.util.FastMath#atan2(double,double):3005, 4.849862612419124
org.apache.commons.math.util.FastMath#atan2(double,double):3003, 4.848029181358297
org.apache.commons.math.util.FastMath#atan2(double,double):2977, 4.848017605888603
org.apache.commons.math.util.FastMath#atan2(double,double):2973, 4.8480119949365275
org.apache.commons.math.util.FastMath#atan2(double,double):2974, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):2978, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):2979, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):2980, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):2982, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):2983, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):2984, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):2986, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):2990, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):2991, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):2992, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):2994, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):2997, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3008, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3009, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3012, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3015, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3016, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3017, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3020, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3021, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3024, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3027, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3028, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3029, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3032, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3033, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3037, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3039, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3040, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3043, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3044, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3050, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3051, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3052, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3055, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3056, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3061, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3062, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3063, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3066, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3067, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3070, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3071, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3073, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3075, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3076, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3077, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3079, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3080, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3084, 4.84719
org.apache.commons.math.util.FastMath#atan2(double,double):3086, 4.84719
org.apache.commons.math.complex.Complex#toString():1183, 4.781151067811865
org.apache.commons.math.complex.Complex#atan():587, 3.7404224829046386
org.apache.commons.math.complex.Complex#atan():583, 3.739875533905933
org.apache.commons.math.complex.Complex#atan():584, 3.73634
org.apache.commons.math.util.FastMath#log(double,double[]):1284, 3.4805066666666664
org.apache.commons.math.util.FastMath#log(double,double[]):1288, 3.4805066666666664
org.apache.commons.math.util.FastMath#log(double,double[]):1269, 3.479073507231247
org.apache.commons.math.util.FastMath#log(double,double[]):1272, 3.479073507231247
org.apache.commons.math.util.FastMath#log(double,double[]):1283, 3.479073507231247
org.apache.commons.math.util.FastMath#log(double,double[]):1266, 3.479073380014005
org.apache.commons.math.util.FastMath#log(double,double[]):1267, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1273, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1274, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1275, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1278, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1285, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1292, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1294, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1296, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1298, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1299, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1302, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1306, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1307, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1308, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1309, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1314, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1315, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1320, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1321, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1322, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1323, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1324, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1325, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1326, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1328, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1329, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1331, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1333, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1334, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1336, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1337, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1338, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1341, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1342, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1344, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1345, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1346, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1350, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1351, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1353, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1354, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1355, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1357, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1362, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1373, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1375, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1376, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1378, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1380, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1381, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1382, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1383, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1384, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1387, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1388, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1389, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1390, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1393, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1394, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1396, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1398, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1399, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1401, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1402, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1403, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1406, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1407, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1409, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1410, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1411, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1415, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1416, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1424, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1425, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1426, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1429, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1430, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1431, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1432, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1433, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1434, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1435, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1452, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1453, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1454, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1455, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1456, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1457, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1459, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1460, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1461, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1462, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1464, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1465, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1466, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1467, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1469, 3.47884
