CodeElement, SuspiciousScore
org.apache.commons.math.fraction.Fraction#compareTo(org.apache.commons.math.fraction.Fraction):259, 8.55386
org.apache.commons.math.fraction.Fraction#compareTo(org.apache.commons.math.fraction.Fraction):260, 8.55386
org.apache.commons.math.fraction.Fraction#compareTo(org.apache.commons.math.fraction.Fraction):261, 8.55386
org.apache.commons.math.util.MathUtils#gcd(int,int):604, 7.986538649914979
org.apache.commons.math.util.MathUtils#gcd(int,int):564, 7.986404532357065
org.apache.commons.math.util.MathUtils#gcd(int,int):569, 7.986404532357065
org.apache.commons.math.util.MathUtils#gcd(int,int):561, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):562, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):563, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):576, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):577, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):579, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):580, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):583, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):584, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):590, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):597, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):603, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):607, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):608, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):610, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):613, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):616, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):617, 7.986360368799329
org.apache.commons.math.util.MathUtils#gcd(int,int):565, 7.98508
org.apache.commons.math.util.MathUtils#gcd(int,int):586, 7.98508
org.apache.commons.math.util.MathUtils#gcd(int,int):587, 7.98508
org.apache.commons.math.util.MathUtils#gcd(int,int):588, 7.98508
org.apache.commons.math.util.MathUtils#gcd(int,int):591, 7.98508
org.apache.commons.math.fraction.Fraction#doubleValue():270, 7.764624500897298
