CodeElement, passed(s), failed(s), totalpassed, totalfailed
org.jfree.chart.util.ObjectUtilities:<clinit>:82, 1, 0, 1635, 6
org.jfree.chart.util.ObjectUtilities:equal:127, 646, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:getValue1:165, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:<init>:115, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:<init>:96, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:<init>:112, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:<init>:93, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:<init>:111, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:<init>:121, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:<init>:118, 4, 0, 1635, 6
org.jfree.chart.util.PaintUtilities:equal:100, 403, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:getCategory2:187, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:<init>:128, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:<init>:129, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:<init>:130, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:<init>:124, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:<init>:125, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:<init>:126, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:<init>:127, 4, 0, 1635, 6
org.jfree.chart.util.PaintUtilities:equal:78, 433, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:361, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:358, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:355, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:352, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:getValue2:212, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:364, 4, 0, 1635, 6
org.jfree.chart.util.PaintUtilities:equal:98, 396, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:clone:394, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:getCategory1:140, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:349, 4, 0, 1635, 6
org.jfree.chart.util.PaintUtilities:equal:81, 403, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:345, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:346, 4, 0, 1635, 6
org.jfree.chart.util.PaintUtilities:equal:85, 403, 0, 1635, 6
org.jfree.chart.util.PaintUtilities:equal:87, 403, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:342, 4, 0, 1635, 6
org.jfree.chart.util.ObjectUtilities:equal:128, 570, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:339, 4, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setCategory2:201, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setCategory2:202, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:362, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:359, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:356, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setValue1:176, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setValue1:177, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setCategory2:198, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:353, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setStroke:273, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setStroke:274, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setStroke:270, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:350, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:equals:347, 1, 0, 1635, 6
org.jfree.chart.util.ObjectUtilities:equal:130, 532, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setPaint:248, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setPaint:249, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setCategory1:151, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setCategory1:154, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setCategory1:155, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setValue2:224, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setValue2:223, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:setPaint:245, 1, 0, 1635, 6
org.jfree.chart.util.ObjectUtilities:equal:131, 531, 0, 1635, 6
org.jfree.chart.HashUtilities:hashCodeForPaint:83, 8, 0, 1635, 6
org.jfree.chart.HashUtilities:hashCodeForPaint:67, 8, 0, 1635, 6
org.jfree.chart.HashUtilities:hashCodeForPaint:69, 8, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:hashCode:373, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:hashCode:374, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:hashCode:375, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:hashCode:376, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:hashCode:377, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:hashCode:378, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:hashCode:379, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:hashCode:380, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:hashCode:381, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:hashCode:382, 1, 0, 1635, 6
org.jfree.chart.HashUtilities:hashCodeForPaint:65, 8, 0, 1635, 6
org.jfree.chart.HashUtilities:hashCodeForPaint:81, 8, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:writePaint:170, 131, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:writePaint:146, 131, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:writeStroke:228, 119, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:writePaint:153, 120, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:writeObject:408, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:writeObject:405, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:writeObject:406, 1, 0, 1635, 6
org.jfree.chart.annotations.CategoryLineAnnotation:writeObject:407, 1, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:readPaint:110, 131, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:readStroke:186, 119, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:readPaint:118, 120, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:writePaint:152, 122, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:writePaint:150, 122, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:writePaint:151, 122, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:readStroke:194, 119, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:readStroke:195, 119, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:readStroke:196, 119, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:readStroke:197, 119, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:readStroke:198, 119, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:readStroke:199, 119, 0, 1635, 6
org.jfree.chart.util.SerialUtilities:readStroke:200, 119, 0, 1635, 6
