CodeElement, passed(s), failed(s), totalpassed, totalfailed
org.apache.commons.lang3.ArrayUtils:copyArrayGrow1:3462, 9, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:copyArrayGrow1:3459, 11, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:copyArrayGrow1:3458, 11, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:copyArrayGrow1:3457, 11, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:copyArrayGrow1:3460, 11, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:102, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:70, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:98, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:66, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:110, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:78, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:106, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:74, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:118, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:86, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:114, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:54, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:82, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:126, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:58, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:94, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:122, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:62, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:<clinit>:90, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3254, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3252, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3253, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:copyArrayGrow1:3456, 11, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3279, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3280, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3281, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3308, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3307, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3306, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3334, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3335, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3333, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3360, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3361, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3362, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3387, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3389, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3388, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3415, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3414, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3416, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3224, 3, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3225, 3, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3226, 3, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3227, 3, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3441, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3443, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:add:3442, 1, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:clone:380, 3, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:clone:332, 13, 0, 1623, 1
org.apache.commons.lang3.ArrayUtils:clone:297, 3, 0, 1623, 1
