CodeElement, passed(s), failed(s), totalpassed, totalfailed
org.mockito.internal.progress.MockingProgressImpl:validateState:83, 837, 1, 837, 1
org.mockito.internal.progress.MockingProgressImpl:validateState:82, 837, 1, 837, 1
org.mockito.internal.creation.cglib.CGLIBHacker:setMockitoNamingPolicy:25, 476, 0, 837, 1
org.mockito.internal.creation.cglib.CGLIBHacker:setMockitoNamingPolicy:24, 476, 0, 837, 1
org.mockito.internal.creation.cglib.CGLIBHacker:setMockitoNamingPolicy:19, 476, 0, 837, 1
org.mockito.internal.creation.cglib.CGLIBHacker:setMockitoNamingPolicy:21, 476, 0, 837, 1
org.mockito.internal.creation.cglib.CGLIBHacker:setMockitoNamingPolicy:20, 476, 0, 837, 1
org.mockito.internal.creation.cglib.CGLIBHacker:setMockitoNamingPolicy:23, 476, 0, 837, 1
org.mockito.internal.creation.cglib.CGLIBHacker:setMockitoNamingPolicy:22, 476, 0, 837, 1
org.mockito.internal.progress.ThreadSafeMockingProgress:pullVerificationMode:38, 470, 0, 837, 1
org.mockito.internal.progress.ThreadSafeMockingProgress:validateState:46, 837, 1, 837, 1
org.mockito.internal.progress.ThreadSafeMockingProgress:validateState:47, 837, 1, 837, 1
org.mockito.internal.creation.cglib.CGLIBHacker:setMockitoNamingPolicy:26, 109, 0, 837, 1
org.mockito.internal.invocation.ArgumentsComparator:<init>:14, 380, 0, 837, 1
org.mockito.internal.verification.VerificationDataImpl:<init>:19, 271, 0, 837, 1
org.mockito.internal.verification.VerificationDataImpl:<init>:18, 271, 0, 837, 1
org.mockito.internal.verification.VerificationDataImpl:<init>:21, 271, 0, 837, 1
org.mockito.internal.verification.VerificationDataImpl:<init>:20, 271, 0, 837, 1
org.mockito.internal.creation.cglib.CGLIBHacker:setMockitoNamingPolicy:31, 476, 0, 837, 1
org.mockito.internal.invocation.Invocation:isVoid:183, 468, 0, 837, 1
org.mockito.internal.progress.MockingProgressImpl:verificationStarted:40, 270, 0, 837, 1
org.mockito.internal.progress.MockingProgressImpl:verificationStarted:41, 270, 0, 837, 1
org.mockito.internal.progress.MockingProgressImpl:verificationStarted:38, 270, 0, 837, 1
org.mockito.internal.progress.MockingProgressImpl:verificationStarted:39, 270, 0, 837, 1
org.mockito.internal.exceptions.base.StackTraceFilter:filter:51, 608, 0, 837, 1
org.mockito.internal.exceptions.base.StackTraceFilter:filter:50, 608, 0, 837, 1
org.mockito.internal.exceptions.base.StackTraceFilter:filter:53, 608, 0, 837, 1
org.mockito.internal.exceptions.base.StackTraceFilter:filter:52, 608, 0, 837, 1
org.mockito.internal.creation.cglib.CGLIBHacker:setMockitoNamingPolicy:32, 476, 0, 837, 1
org.mockito.internal.util.Primitives:isPrimitiveWrapper:14, 299, 0, 837, 1
org.mockito.internal.stubbing.InvocationContainerImpl:getInvocations:109, 290, 0, 837, 1
org.mockito.internal.debugging.Location:<init>:26, 596, 0, 837, 1
org.mockito.internal.invocation.ArgumentsComparator:argumentsMatch:24, 363, 0, 837, 1
org.mockito.internal.util.CreationValidator:validateExtraInterfaces:21, 608, 0, 837, 1
org.mockito.internal.debugging.Location:<init>:28, 597, 0, 837, 1
org.mockito.internal.util.CreationValidator:validateExtraInterfaces:20, 627, 1, 837, 1
org.mockito.internal.creation.jmock.ClassImposterizer:canImposterise:44, 630, 1, 837, 1
org.mockito.internal.util.MockUtil:<init>:31, 292, 0, 837, 1
org.mockito.internal.util.MockUtil:<init>:30, 292, 0, 837, 1
org.mockito.internal.creation.DelegatingMethod:getJavaMethod:25, 440, 0, 837, 1
org.mockito.internal.invocation.realmethod.CGLIBProxyRealMethod:<init>:17, 476, 0, 837, 1
org.mockito.internal.invocation.realmethod.CGLIBProxyRealMethod:<init>:19, 476, 0, 837, 1
org.mockito.internal.invocation.realmethod.CGLIBProxyRealMethod:<init>:18, 476, 0, 837, 1
org.mockito.internal.verification.VerificationModeFactory:atLeastOnce:12, 41, 0, 837, 1
org.mockito.internal.creation.DelegatingMethod:getReturnType:37, 467, 0, 837, 1
org.mockito.internal.stubbing.answers.CallsRealMethods:<init>:32, 12, 0, 837, 1
org.mockito.configuration.DefaultMockitoConfiguration:getDefaultAnswer:32, 397, 0, 837, 1
org.mockito.internal.util.MockUtil:<init>:25, 298, 0, 837, 1
org.mockito.internal.util.MockUtil:<init>:27, 298, 0, 837, 1
org.mockito.internal.util.MockUtil:<init>:26, 298, 0, 837, 1
org.mockito.internal.invocation.ArgumentsComparator:argumentsMatch:21, 380, 0, 837, 1
org.mockito.internal.exceptions.base.StackTraceFilter:filter:33, 608, 0, 837, 1
org.mockito.internal.invocation.ArgumentsComparator:argumentsMatch:29, 331, 0, 837, 1
org.mockito.internal.exceptions.base.StackTraceFilter:filter:39, 606, 0, 837, 1
org.mockito.internal.exceptions.base.StackTraceFilter:filter:38, 606, 0, 837, 1
org.mockito.internal.exceptions.base.StackTraceFilter:filter:37, 606, 0, 837, 1
org.mockito.internal.invocation.realmethod.FilteredCGLIBProxyRealMethod:<init>:21, 477, 0, 837, 1
org.mockito.internal.invocation.realmethod.FilteredCGLIBProxyRealMethod:<init>:23, 477, 0, 837, 1
