CodeElement, passed(s), failed(s), totalpassed, totalfailed
org.joda.time.base.AbstractPartial:getField:105, 555, 0, 3798, 8
org.joda.time.DateTimeZone:setDefault:182, 2870, 0, 3798, 8
org.joda.time.DateTimeZone:setDefault:183, 2870, 0, 3798, 8
org.joda.time.DateTimeZone:setDefault:181, 2870, 0, 3798, 8
org.joda.time.DateTimeZone:getDefault:161, 3143, 0, 3798, 8
org.joda.time.chrono.AssembledChronology:year:268, 1248, 8, 3798, 8
org.joda.time.chrono.BuddhistChronology:getInstanceUTC:84, 10, 0, 3798, 8
org.joda.time.DateTimeUtils$FixedMillisProvider:<init>:416, 2714, 0, 3798, 8
org.joda.time.DateTimeUtils$FixedMillisProvider:<init>:414, 2714, 0, 3798, 8
org.joda.time.DateTimeUtils$FixedMillisProvider:<init>:415, 2714, 0, 3798, 8
org.joda.time.DateTimeUtils:setCurrentMillisSystem:68, 2717, 0, 3798, 8
org.joda.time.DateTimeUtils:setCurrentMillisSystem:69, 2717, 0, 3798, 8
org.joda.time.DateTimeUtils:setCurrentMillisSystem:70, 2717, 0, 3798, 8
org.joda.time.DateTimeUtils:setCurrentMillisFixed:84, 2714, 0, 3798, 8
org.joda.time.DateTimeUtils:setCurrentMillisFixed:83, 2714, 0, 3798, 8
org.joda.time.DateTimeUtils:setCurrentMillisFixed:82, 2714, 0, 3798, 8
org.joda.time.DateTimeZone:getDefault:133, 3143, 0, 3798, 8
org.joda.time.DateTimeZone:getDefault:134, 3143, 0, 3798, 8
org.joda.time.DateTimeZone:setDefault:175, 2870, 0, 3798, 8
org.joda.time.DateTimeZone:setDefault:174, 2870, 0, 3798, 8
org.joda.time.base.AbstractPartial:<init>:55, 1220, 0, 3798, 8
org.joda.time.base.AbstractPartial:<init>:54, 1220, 0, 3798, 8
org.joda.time.DateTimeZone:setDefault:184, 2870, 0, 3798, 8
org.joda.time.DateTimeZone:setDefault:178, 2870, 0, 3798, 8
org.joda.time.chrono.AssembledChronology:monthOfYear:260, 1303, 8, 3798, 8
org.joda.time.DateTimeUtils:checkPermission:129, 2717, 0, 3798, 8
org.joda.time.DateTimeUtils:checkPermission:130, 2717, 0, 3798, 8
org.joda.time.DateTimeUtils:checkPermission:133, 2717, 0, 3798, 8
org.joda.time.DateTimeFieldType:year:326, 1415, 3, 3798, 8
